abstract,authorids,authors,conflicts,keywords,paper_id,paperhash,title,tl;dr,decision,forum_link,pdf_link
"We present an approach to sensorimotor control in immersive environments. Our approach utilizes a high-dimensional sensory stream and a lower-dimensional measurement stream. The cotemporal structure of these streams provides a rich supervisory signal, which enables training a sensorimotor control model by interacting with the environment. The model is trained using supervised learning techniques, but without extraneous supervision. It learns to act based on raw sensory input from a complex three-dimensional environment. The presented formulation enables learning without a fixed goal at training time, and pursuing dynamically changing goals at test time. We conduct extensive experiments in three-dimensional simulations based on the classical first-person game Doom. The results demonstrate that the presented approach outperforms sophisticated prior formulations, particularly on challenging tasks. The results also show that trained models successfully generalize across environments and goals. A model trained using the presented approach won the Full Deathmatch track of the Visual Doom AI Competition, which was held in previously unseen environments.","adosovitskiy@gmail.com, vkoltun@gmail.com","Alexey Dosovitskiy, Vladlen Koltun","intel.com, cs.uni-freiburg.de, stanford.edu",,rJLS7qKel,dosovitskiy|learning_to_act_by_predicting_the_future,Learning to Act by Predicting the Future,We present an approach to sensorimotor control in immersive environments.,Accept (Oral),https://openreview.net/forum?id=rJLS7qKel&noteId=rJLS7qKel,https://openreview.net/pdf?id=rJLS7qKel
"The stochastic gradient descent (SGD) method and its variants are algorithms of choice for many Deep Learning tasks. These methods operate in a small-batch regime wherein a fraction of the training data,  say $32$--$512$ data points, is sampled to compute an approximation to the gradient. It has been observed in practice that when using a larger batch there is a  degradation in the quality of the model, as measured by its ability to generalize. We investigate the cause for this generalization drop in the large-batch regime and present numerical evidence that supports the view that large-batch methods tend to converge to sharp minimizers of the training and testing functions---and as is well known, sharp minima lead to poorer generalization. In contrast, small-batch methods consistently converge to flat minimizers, and our experiments support a commonly held view that this is due to the inherent noise in the gradient estimation. We  discuss several  strategies to attempt to help large-batch methods eliminate this generalization gap.","keskar.nitish@u.northwestern.edu, dheevatsa.mudigere@intel.com, j-nocedal@northwestern.edu, mikhail.smelyanskiy@intel.com, peter.tang@intel.com","Nitish Shirish Keskar, Dheevatsa Mudigere, Jorge Nocedal, Mikhail Smelyanskiy, Ping Tak Peter Tang","northwestern.edu, intel.com, ibm.com","Deep learning, Optimization",H1oyRlYgg,keskar|on_largebatch_training_for_deep_learning_generalization_gap_and_sharp_minima,On Large-Batch Training for Deep Learning: Generalization Gap and Sharp Minima,"We present numerical evidence for the argument that if deep networks are trained using large (mini-)batches, they converge to sharp minimizers, and these minimizers have poor generalization properties.",Accept (Oral),https://openreview.net/forum?id=H1oyRlYgg&noteId=H1oyRlYgg,https://openreview.net/pdf?id=H1oyRlYgg
"Some machine learning applications involve training data that is sensitive, such
as the medical histories of patients in a clinical trial. A model may
inadvertently and implicitly store some of its training data; careful analysis
of the model may therefore reveal sensitive information.

To address this problem, we demonstrate a generally applicable approach to
providing strong privacy guarantees for training data: Private Aggregation of Teacher Ensembles (PATE). The approach combines, in
a black-box fashion, multiple models trained with disjoint datasets, such as
records from different subsets of users. Because they rely directly on sensitive
data, these models are not published, but instead used as ''teachers'' for a ''student'' model. 
The student learns to predict an output chosen by noisy voting
among all of the teachers, and cannot directly access an individual teacher or
the underlying data or parameters. The student's privacy properties can be
understood both intuitively (since no single teacher and thus no single dataset
dictates the student's training) and formally, in terms of differential privacy.
 These properties hold even if an adversary can not only query the student but
also inspect its internal workings.

Compared with previous work, the approach imposes only weak assumptions on how
teachers are trained: it applies to any model, including non-convex models like
DNNs. We achieve state-of-the-art privacy/utility trade-offs on MNIST and SVHN
thanks to an improved privacy analysis and semi-supervised learning.","ngp5056@cse.psu.edu, abadi@google.com, ulfar@google.com, ian@openai.com, kunal@google.com","Nicolas Papernot, Martín Abadi, Úlfar Erlingsson, Ian Goodfellow, Kunal Talwar","google.com, openai.com, psu.edu",,HkwoSDPgg,papernot|semisupervised_knowledge_transfer_for_deep_learning_from_private_training_data,Semi-supervised Knowledge Transfer for Deep Learning from Private Training Data,Semi-supervised learning of a privacy-preserving student model with GANs by knowledge transfer from an ensemble of teachers trained on partitions of private data.,Accept (Oral),https://openreview.net/forum?id=HkwoSDPgg&noteId=HkwoSDPgg,https://openreview.net/pdf?id=HkwoSDPgg
"Image super-resolution (SR) is an underdetermined inverse problem, where a large number of plausible high resolution images can explain the same downsampled image. Most current single image SR methods use empirical risk minimisation, often with a pixel-wise mean squared error (MSE) loss.
However, the outputs from such methods tend to be blurry, over-smoothed and generally appear implausible. A more desirable approach would employ Maximum a Posteriori (MAP) inference, preferring solutions that always have a high probability under the image prior, and thus appear more plausible. Direct MAP estimation for SR is non-trivial, as it requires us to build a model for the image prior from samples. Here we introduce new methods for \emph{amortised MAP inference} whereby we calculate the MAP estimate directly using a convolutional neural network. We first introduce a novel neural network architecture that performs a projection to the affine subspace of valid SR solutions ensuring that the high resolution output of the network is always consistent with the low resolution input. We show that, using this architecture, the amortised MAP inference problem reduces to minimising the cross-entropy between two distributions, similar to training generative models. We propose three methods to solve this optimisation problem: (1) Generative Adversarial Networks (GAN) (2) denoiser-guided SR which backpropagates gradient-estimates from denoising to train the network, and (3) a baseline method using a maximum-likelihood-trained image prior. Our experiments show that the GAN based approach performs best on real image data. Lastly, we establish a connection between GANs and amortised variational inference as in e.g. variational autoencoders.","casperkaae@gmail.com, jcaballero@twitter.com, ltheis@twitter.com, wshi@twitter.com, fhuszar@twitter.com","Casper Kaae Sønderby, Jose Caballero, Lucas Theis, Wenzhe Shi, Ferenc Huszár","twitter.com, ku.dk, dtu.dk","Theory, Computer vision, Deep learning",S1RP6GLle,sønderby|amortised_map_inference_for_image_superresolution,Amortised MAP Inference for Image Super-resolution,Probabilisticly motivated image superresolution using a projection to the subspace of valid solutions,Accept (Oral),https://openreview.net/forum?id=S1RP6GLle&noteId=S1RP6GLle,https://openreview.net/pdf?id=S1RP6GLle
"Graph-structured data is important in modeling relationships between multiple entities, and can be used to represent states of the world as well as many data structures. Li et al. (2016) describe a model known as a Gated Graph Sequence Neural Network (GGS-NN) that produces sequences from graph-structured input. In this work I introduce the Gated Graph Transformer Neural Network (GGT-NN), an extension of GGS-NNs that uses graph-structured data as an intermediate representation. The model can learn to construct and modify graphs in sophisticated ways based on textual input, and also to use the graphs to produce a variety of outputs. For example, the model successfully learns to solve almost all of the bAbI tasks (Weston et al., 2016), and also discovers the rules governing graphical formulations of a simple cellular automaton and a family of Turing machines.",ddjohnson@hmc.edu,Daniel D. Johnson,"cs.hmc.edu, hmc.edu","Natural language processing, Deep learning, Supervised Learning, Structured prediction",HJ0NvFzxl,johnson|learning_graphical_state_transitions,Learning Graphical State Transitions,"I introduce a set of differentiable graph transformations, and use them to build a model with a graphical internal state that can extract structured data from text and use it to answer queries.",Accept (Oral),https://openreview.net/forum?id=HJ0NvFzxl&noteId=HJ0NvFzxl,https://openreview.net/pdf?id=HJ0NvFzxl
"Attention plays a critical role in human visual experience. Furthermore, it has recently been demonstrated that attention can also play an important role in the context of applying artificial neural networks to a variety of tasks from fields such as computer vision and NLP. In this work we show that, by properly defining attention for convolutional neural networks, we can actually use this type of information in order to significantly improve the performance of a student CNN network by forcing it to mimic the attention maps of a powerful teacher network. To that end, we propose several novel methods of transferring attention, showing consistent improvement across a variety of datasets and convolutional neural network architectures.","sergey.zagoruyko@enpc.fr, nikos.komodakis@enpc.fr","Sergey Zagoruyko, Nikos Komodakis",fb.com,"Computer vision, Deep learning, Supervised Learning",Sks9_ajex,zagoruyko|paying_more_attention_to_attention_improving_the_performance_of_convolutional_neural_networks_via_attention_transfer,Paying More Attention to Attention: Improving the Performance of Convolutional Neural Networks via Attention Transfer,,Accept (Poster),https://openreview.net/forum?id=Sks9_ajex&noteId=Sks9_ajex,https://openreview.net/pdf?id=Sks9_ajex
"Visual servoing involves choosing actions that move a robot in response to observations from a camera, in order to reach a goal configuration in the world. Standard visual servoing approaches typically rely on manually designed features and analytical dynamics models, which limits their generalization capability and often requires extensive application-specific feature and model engineering. In this work, we study how learned visual features, learned predictive dynamics models, and reinforcement learning can be combined to learn visual servoing mechanisms. We focus on target following, with the goal of designing algorithms that can learn a visual servo using low amounts of data of the target in question, to enable quick adaptation to new targets. Our approach is based on servoing the camera in the space of learned visual features, rather than image pixels or manually-designed keypoints. We demonstrate that standard deep features, in our case taken from a model trained for object classification, can be used together with a bilinear predictive model to learn an effective visual servo that is robust to visual variation, changes in viewing angle and appearance, and occlusions. A key component of our approach is to use a sample-efficient fitted Q-iteration algorithm to learn which features are best suited for the task at hand. We show that we can learn an effective visual servo on a complex synthetic car following benchmark using just 20 training trajectory samples for reinforcement learning. We demonstrate substantial improvement over a conventional approach based on image pixels or hand-designed keypoints, and we show an improvement in sample-efficiency of more than two orders of magnitude over standard model-free deep reinforcement learning algorithms. Videos are available at http://rll.berkeley.edu/visual_servoing.","alexlee_gk@cs.berkeley.edu, svlevine@cs.berkeley.edu, pabbeel@cs.berkeley.edu","Alex X. Lee, Sergey Levine, Pieter Abbeel","berkeley.edu, google.com, openai.com","Computer vision, Deep learning, Reinforcement Learning",r1YNw6sxg,lee|learning_visual_servoing_with_deep_features_and_fitted_qiteration,Learning Visual Servoing with Deep Features and Fitted Q-Iteration,"We use deep semantic features, learned predictive dynamics, and reinforcement learning to efficiently learn a visual servoing policy that is robust to visual variations.",Accept (Poster),https://openreview.net/forum?id=r1YNw6sxg&noteId=r1YNw6sxg,https://openreview.net/pdf?id=r1YNw6sxg
"Deep reinforcement learning has achieved many impressive results in recent years. However, tasks with sparse rewards or long horizons continue to pose significant challenges. To tackle these important problems, we propose a general framework that first learns useful skills in a pre-training environment, and then leverages the acquired skills for learning faster in downstream tasks.
Our approach brings together some of the strengths of intrinsic motivation and hierarchical methods: the learning of useful skill is guided by a single proxy reward, the design of which requires very minimal domain knowledge about the downstream tasks. Then a high-level policy is trained on top of these skills, providing a significant improvement of the exploration and allowing to tackle sparse rewards in the downstream tasks. To efficiently pre-train a large span of skills, we use Stochastic Neural Networks combined with an information-theoretic regularizer. Our experiments show that this combination is effective in learning a wide span of interpretable skills in a sample-efficient way, and can significantly boost the learning performance uniformly across a wide range of downstream tasks.","florensa@berkeley.edu, rocky@openai.com, pieter@openai.com","Carlos Florensa, Yan Duan, Pieter Abbeel","berkeley.edu, openai.com","Deep learning, Unsupervised Learning, Reinforcement Learning",B1oK8aoxe,florensa|stochastic_neural_networks_for_hierarchical_reinforcement_learning,Stochastic Neural Networks for Hierarchical Reinforcement Learning,"We propose a framework for learning a diverse set of skills using stochastic neural networks with minimum supervision, and utilize these skills in a hierarchical architecture to solve challenging tasks with sparse rewards",Accept (Poster),https://openreview.net/forum?id=B1oK8aoxe&noteId=B1oK8aoxe,https://openreview.net/pdf?id=B1oK8aoxe
"Automatically determining the optimal size of a neural network for a given task without prior information currently requires an expensive global search and training many networks from scratch. In this paper, we address the problem of automatically finding a good network size during a single training cycle. We introduce {\it nonparametric neural networks}, a non-probabilistic framework for conducting optimization over all possible network sizes and prove its soundness when network growth is limited via an $\ell_p$ penalty. We train networks under this framework by continuously adding new units while eliminating redundant units via an $\ell_2$ penalty. We employ a novel optimization algorithm, which we term ``Adaptive Radial-Angular Gradient Descent'' or {\it AdaRad}, and obtain promising results.","george.philipp@email.de, jgc@cs.cmu.edu","George Philipp, Jaime G. Carbonell",cmu.edu,"Deep learning, Supervised Learning",BJK3Xasel,philipp|nonparametric_neural_networks,Nonparametric Neural Networks,We automatically set the size of an MLP by adding and removing units during training as appropriate.,Accept (Poster),https://openreview.net/forum?id=BJK3Xasel&noteId=BJK3Xasel,https://openreview.net/pdf?id=BJK3Xasel
"As more computational resources become available, machine learning researchers train ever larger neural networks on millions of data points using stochastic gradient descent (SGD). Although SGD scales well in terms of both the size of dataset and the number of parameters of the model, it has rapidly diminishing returns as parallel computing resources increase.  Second-order optimization methods have an affinity for well-estimated gradients and large mini-batches, and can therefore benefit much more from parallel computation in principle.   Unfortunately,  they often employ severe approximations to the curvature matrix in order to scale to large models with millions of parameters, limiting their effectiveness in practice versus well-tuned SGD with momentum.  The recently proposed K-FAC method(Martens and Grosse, 2015) uses a stronger and more sophisticated curvature approximation, and has been shown to make much more per-iteration progress than SGD, while only introducing a modest overhead.  In this paper, we develop a version of K-FAC that distributes the computation of gradients and additional quantities required by K-FAC across multiple machines, thereby taking advantage of method’s superior scaling to large mini-batches and mitigating its additional overheads. We provide a Tensorflow implementation of our approach which is easy to use and can be applied to many existing codebases without modification.  Additionally, we develop several algorithmic enhancements to K-FAC which can improve its computational performance for very large models. Finally, we show that our distributed K-FAC method speeds up training of various state-of-the-art ImageNet classification models by a factor of two compared to Batch Normalization(Ioffe and Szegedy, 2015).","jimmy@psi.toronto.edu, rgrosse@cs.toronto.edu, jmartens@cs.toronto.edu","Jimmy Ba, Roger Grosse, James Martens","cs.toronto.edu, google.com","Deep learning, Optimization",SkkTMpjex,ba|distributed_secondorder_optimization_using_kroneckerfactored_approximations,Distributed Second-Order Optimization using Kronecker-Factored Approximations,Fixed typos pointed out by AnonReviewer1 and AnonReviewer4 and added the experiments in Fig. 6 showing the poor scaling of batch normalized SGD using a batch size of 2048 on googlenet.,Accept (Poster),https://openreview.net/forum?id=SkkTMpjex&noteId=SkkTMpjex,https://jimmylba.github.io/papers/nsync.pdf
"The success of CNNs in various applications is accompanied by a significant increase in the computation and parameter storage costs. Recent efforts toward reducing these overheads involve pruning and compressing the weights of various layers without hurting original accuracy.  However, magnitude-based pruning of weights reduces a significant number of parameters from the fully connected layers and may not adequately reduce the computation costs in the convolutional layers due to irregular sparsity in the pruned networks. We present an acceleration method for CNNs, where we prune filters from CNNs that are identified as having a small effect on the output accuracy. By removing whole filters in the network together with their connecting feature maps, the computation costs are reduced significantly. In contrast to pruning weights, this approach does not result in sparse connectivity patterns. Hence, it does not need the support of sparse convolution libraries and can work with existing efficient BLAS libraries for dense matrix multiplications. We show that even simple filter pruning techniques can reduce inference costs for VGG-16 by up to 34% and ResNet-110 by up to 38% on CIFAR10 while regaining close to the original accuracy by retraining the networks.","haoli@cs.umd.edu, asim@nec-labs.com, igord@nec-labs.com, hjs@cs.umd.edu, hpg@nec-labs.com","Hao Li, Asim Kadav, Igor Durdanovic, Hanan Samet, Hans Peter Graf","umd.edu, nec-labs.com, nervanasys.com","Computer vision, Deep learning",rJqFGTslg,li|pruning_filters_for_efficient_convnets,Pruning Filters for Efficient ConvNets,,Accept (Poster),https://openreview.net/forum?id=rJqFGTslg&noteId=rJqFGTslg,https://openreview.net/pdf?id=rJqFGTslg
"In this work, we investigate a novel training procedure to learn a generative model as the transition operator of a Markov chain, such that, when applied repeatedly on an unstructured random noise sample, it will denoise it into a sample that matches the target distribution from the training set. The novel training procedure to learn this progressive denoising operation involves sampling from a slightly different chain than the model chain used for generation in the absence of a denoising target. In the training chain we infuse information from the training target example that we would like the chains to reach with a high probability. The thus learned transition operator is able to produce quality and varied samples in a small number of steps. Experiments show competitive results compared to the samples generated with a basic Generative Adversarial Net.","florian.bordes@umontreal.ca, sina.honari@umontreal.ca, pascal.vincent@umontreal.ca","Florian Bordes, Sina Honari, Pascal Vincent","umontreal.ca, polymtl.ca","Deep learning, Unsupervised Learning",BJAFbaolg,bordes|learning_to_generate_samples_from_noise_through_infusion_training,Learning to Generate Samples from Noise through Infusion Training,"We learn a markov transition operator acting on inputspace, to denoise random noise into a target distribution. We use a novel target injection technique to guide the training.",Accept (Poster),https://openreview.net/forum?id=BJAFbaolg&noteId=BJAFbaolg,https://openreview.net/pdf?id=BJAFbaolg
